Corruption Perceptions Index 2025: Global scores,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 10.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,,,,
Oman,OMN,MENA,52,54,5.54,7,43,61,,,21,34,,59,73,,42,57,,79,,,,,
Bahrain,BHR,MENA,50,56,6.22,7,40,60,,,30,34,,32,78,,51,40,,87,,,,,
Georgia,GEO,ECA,50,56,4.31,6,43,57,,,34,,52,32,,,,62,,65,53,,,,
Greece,GRC,WE/EU,50,56,1.65,8,47,53,,57,,51,,59,42,,42,59,,45,50,,,,
Jordan,JOR,MENA,50,56,3.24,8,45,55,,,39,51,,32,72,,42,46,,70,52,,,,
Malta,MLT,WE/EU,49,60,3.25,6,44,54,,,,51,,46,,,33,62,,44,57,,,,
Mauritius,MUS,SSA,48,61,1.51,7,46,50,42,,47,51,,59,,,,44,,45,51,,,,
Slovakia,SVK,WE/EU,48,61,2.82,9,43,53,,36,51,51,59,72,24,,33,56,,,47,,,,
Croatia,HRV,WE/EU,47,63,1.83,9,44,50,,,56,51,52,46,31,,51,57,,32,50,,,,
Vanuatu,VUT,AP,47,63,4.27,3,40,54,,,,,,46,,,,55,39,,,,,,
Armenia,ARM,ECA,46,65,2.30,6,42,50,,,51,,44,46,,,33,50,,53,,,,,
Kuwait,KWT,MENA,46,65,2.09,8,43,49,,,47,34,,32,50,,42,54,,59,47,,,,
Montenegro,MNE,ECA,46,65,2.95,5,41,51,,,60,,44,46,,,,41,,,40,,,,
Namibia,NAM,SSA,46,65,2.02,9,43,49,52,,34,51,,59,28,,51,56,,37,47,,,,
Senegal,SEN,SSA,46,65,1.17,9,44,48,48,,39,51,,46,,,42,55,51,36,46,,,,
Benin,BEN,SSA,45,70,3.40,6,39,51,48,,43,,,32,,,,62,51,,36,,,,
Romania,ROU,WE/EU,45,70,1.37,9,43,47,,,43,34,59,46,37,,42,49,,44,47,,,,
Sao Tome and Principe,STP,SSA,45,70,5.38,4,36,54,28,,,,,46,,,,56,51,,,,,,
Jamaica,JAM,AME,44,73,3.61,6,38,50,,,39,34,,32,,,42,63,,,51,,,,
Solomon Islands,SLB,AP,44,73,6.89,3,33,55,,,,,,59,,,,34,39,,,,,,
Timor-Leste,TLS,AP,44,73,5.13,4,36,52,,,43,,,32,,,,60,39,,,,,,
China,CHN,AP,43,76,1.30,8,41,45,,,43,51,,46,48,42,33,37,,,42,,,,
Cote d'Ivoire,CIV,SSA,43,76,2.78,9,38,48,55,,26,34,,59,,,51,33,63,41,25,,,,
Ghana,GHA,SSA,43,76,1.54,10,40,46,59,,43,51,,46,32,,51,31,51,36,33,,,,
Kosovo,KSV,ECA,43,76,2.23,7,39,47,,,43,,33,46,,,,57,51,36,39,,,,
Moldova,MDA,ECA,42,80,1.76,7,39,45,,,43,34,37,46,,,44,53,,,35,,,,
South Africa,ZAF,SSA,41,81,2.39,9,37,45,62,,47,51,,46,22,,42,37,,26,40,,,,
Trinidad and Tobago,TTO,AME,41,81,4.44,6,34,48,,,34,34,,32,,,33,69,,,41,,,,
Vietnam,VNM,AP,41,81,1.72,8,38,44,,,39,34,,46,,32,39,42,,56,37,,,,
Bulgaria,BGR,WE/EU,40,84,1.96,9,37,43,,,51,34,55,32,25,,51,35,,39,38,,,,
Burkina Faso,BFA,SSA,40,84,2.49,7,36,44,52,,26,,,46,,,33,48,39,,36,,,,
Cuba,CUB,AME,40,84,2.62,5,36,44,,,39,51,,32,,,42,35,,,,,,,
Guyana,GUY,AME,40,84,1.80,5,37,43,,,,,,32,,,42,46,39,,39,,,,
Hungary,HUN,WE/EU,40,84,0.87,10,39,41,,36,30,51,41,46,37,,42,41,,39,41,,,,
North Macedonia,MKD,ECA,40,84,2.42,7,36,44,,,51,34,44,46,,,,24,,36,42,,,,
Tanzania,TZA,SSA,40,84,1.84,9,37,43,48,,34,34,,32,,,33,58,39,50,32,,,,
Albania,ALB,ECA,39,91,2.41,7,35,43,,,56,34,44,32,,,42,32,,,31,,,,
India,IND,AP,39,91,1.45,9,37,41,,,47,34,,46,40,34,51,29,,38,31,,,,
Maldives,MDV,AP,39,91,3.73,3,33,45,,,,,,32,,,,46,39,,,,,,
Morocco,MAR,MENA,39,91,1.85,8,36,42,48,,30,34,,32,,,50,31,,45,37,,,,
Tunisia,TUN,MENA,39,91,1.32,8,37,41,42,,34,34,,46,,,33,47,,44,35,,,,
Ethiopia,ETH,SSA,38,96,1.36,8,36,40,45,,34,34,,46,,,37,37,39,,27,,,,
Kazakhstan,KAZ,ECA,38,96,3.53,9,32,44,,,34,18,18,46,63,,69,27,,27,38,,,,
Suriname,SUR,AME,38,96,5.28,5,29,47,,,,,,32,,,33,63,27,,35,,,,
Colombia,COL,AME,37,99,2.22,8,33,41,,,47,34,,46,22,,33,48,,27,38,,,,
Dominican Republic,DOM,AME,37,99,2.93,7,32,42,,,51,51,,32,,,24,27,,40,34,,,,
Gambia,GMB,SSA,37,99,2.50,8,33,41,21,,39,,,46,,,36,57,39,28,31,,,,
Lesotho,LSO,SSA,37,99,4.31,6,30,44,24,,43,,,59,,,,38,39,21,,,,,
Zambia,ZMB,SSA,37,99,1.36,9,35,39,34,,34,34,,46,,,33,50,27,38,34,,,,
Argentina,ARG,AME,36,104,2.18,8,32,40,,,47,34,,32,24,,33,48,,24,42,,,,
Belize,BLZ,AME,36,104,1.92,3,33,39,,,,,,32,,,,,39,,38,,,,
Ukraine,UKR,ECA,36,104,2.40,8,32,40,,,56,18,37,32,,,33,33,,42,34,,,,
Brazil,BRA,AME,35,107,2.76,8,30,40,,,56,34,,32,23,,33,45,,17,38,,,,
Sri Lanka,LKA,AP,35,107,1.22,8,33,37,,,34,34,,32,,,33,44,39,25,36,,,,
Algeria,DZA,MENA,34,109,2.32,8,30,38,21,,39,34,,32,,,26,29,,55,38,,,,
Bosnia and Herzegovina,BIH,ECA,34,109,2.60,7,30,38,,,47,34,41,32,,,,23,,19,38,,,,
Indonesia,IDN,AP,34,109,2.34,9,30,38,,,30,34,,32,26,34,33,23,,65,27,,,,
Laos,LAO,AP,34,109,5.12,5,26,42,,,26,,,32,,,,24,27,58,,,,,
Malawi,MWI,SSA,34,109,1.54,9,31,37,38,,34,18,,46,,,33,26,39,39,34,,,,
